Date ,Lake ,Species ,Length.(mm),Weight.(g),New/Recap,PIT ,Basin ,Diet,Notes ,% Diet Return,
6/13/2024,Camp,LMB,229,110,N,3D6.1533D2EB84,Ref,N,,74.32432432,
6/13/2024,Camp,LMB,195,60,N,3DD.003BD7CAB7,Ref,Y,,,
6/13/2024,Camp,LMB,275,210,N,3DD.003BD7CABE,Ref,Y,,Ref avg. length,n = 43
6/13/2024,Camp,LMB,249,160,N,3D6.1533D2EB7A,Ref,Y,,276.6511628,10.89177806
6/13/2024,Camp,LMB,285,230,N,3DD.003BD7CABD,Ref,Y,,,
6/13/2024,Camp,LMB,255,140,N,3DD.003BD7CABO,Ref,Y,,Trt avg. length,n = 31
6/13/2024,Camp,LMB,293,240,N,3DD.003BD7CAF3,Ref,Y,,315.9387755,12.43853447
6/13/2024,Camp,LMB,219,80,N,3D6.1533D2E677,Ref,Y,,,
6/13/2024,Camp,LMB,268,180,N,3D6.1533D2E6AE,Ref,Y,,,
6/13/2024,Camp,LMB,318,340,N,3D6.1533D2E69F,Ref,Y,,,
6/13/2024,Camp,LMB,285,230,N,3DD.003D5C9C9D,Ref,Y,Recap from last year,,
6/13/2024,Camp,LMB,250,140,N,3D6.1533D2E681,Ref,Y,,,
6/13/2024,Camp,LMB,259,190,N,3D6.1533D2E6AT,Ref,Y,,,
6/13/2024,Camp,LMB,300,280,N,3D6.1533D2E680,Ref,Y,,,
6/13/2024,Camp,LMB,295,260,N,3D5.1533D2E661,Ref,Y,,,
6/13/2024,Camp,LMB,295,150,N,3D6.1533D2E65F,Ref,Y,,,
6/13/2024,Camp,LMB,317,360,N,3D6.1533D2E666,Ref,Y,,,
6/13/2024,Camp,LMB,325,360,N,3D6.1533D2E69A,Ref,Y,,,
6/13/2024,Camp,LMB,251,140,N,3D6.1533D2E6132,Ref,Y,,,
6/13/2024,Camp,LMB,243,150,N,3D6.1533D2E678,Ref,N,tag,,
6/13/2024,Camp,LMB,259,160,N,3D6.1533D2E6B8,Ref,Y,,,
6/13/2024,Camp,LMB,258,170,N,3DD.003D5C9C88,Ref,Y,,,
6/13/2024,Camp,LMB,215,90,N,-,Ref,N,,,
6/13/2024,Camp,BLG,198,130,-,-,Ref,Y,,,
6/13/2024,Camp,BLG,207,150,-,-,Ref,N,,,
6/19/2024,Camp,LMB,364,470,N,3D6.1533D2E6BO,Trt,Y,,,
6/19/2024,Camp,LMB,312,320,N,3D6.1533D2E672,Trt,N,,,
6/19/2024,Camp,LMB,295,240,N,3D6.1533D2E679,Trt,Y,,,
6/19/2024,Camp,LMB,269,200,N,3D6.1533D2E687,Trt,Y,,,
6/19/2024,Camp,LMB,352,440,N,3D6.1533D2E69D,Trt,Y,,,
6/19/2024,Camp,BLG,170,60,-,-,Trt,N,,,
6/19/2024,Camp,BLG,201,140,-,-,Trt,Y,,,
6/19/2024,Camp,LMB,252,150,N,3D6.1533D2E682,Trt,Y,,,
6/19/2024,Camp,LMB,174,70,N,3D6.1533D2E680,Trt,Y,,,
6/20/2024,Camp,LMB,279,240,N,3D6.1533D2EGA5,Trt,Y,,,
6/20/2024,Camp,LMB,413,1000+,N,384.3515E528A6,Trt,N,Colin fish,,
6/20/2024,Camp,LMB,371,490,N,3DD.003D5L9CA1,Trt,N,,,
6/20/2024,Camp,LMB,233,130,N,3D6.1533D2E684,Trt,Y,,,
6/20/2024,Camp,LMB,320,300,N,3D6.1533D2E674,Trt,N,,,
6/20/2024,Camp,LMB,327,390,N,3D6.1533D2E696,Trt,Y,,,
6/20/2024,Camp,LMB,310,320,N,3D6.1533D2E670,Trt,Y,,,
6/20/2024,Camp,LMB,329,420,N,3D6.1533D2E683,Trt,Y,,,
6/20/2024,Camp,LMB,340,440,N,3D6.1533D2E697,Trt,Y,,,
6/20/2024,Camp,LMB,315,330,N,3DD.003BD7CAA2,Trt,Y,,,
6/20/2024,Camp,LMB,380,720,N,3D6.1533D2E691,Trt,Y,,,
6/20/2024,Camp,LMB,298,270,N,3D6.1533D2E6AA,Trt,Y,,,
6/20/2024,Camp,LMB,280,200,N,3D6.1533D2E68E,Trt,Y,,,
6/20/2024,Camp,LMB,317,330,N,3D6.1533D2E67E,Trt,N,,,
6/20/2024,Camp,LMB,310,290,N,3D6.1533D2E66E,Trt,N,,,
6/20/2024,Camp,LMB,402,770,N,3D6.1533D2E667,Trt,Y,,,
6/20/2024,Camp,LMB,305,330,N,3D6.1533D2E66C,Trt,Y,,,
6/20/2024,Camp,LMB,284,230,N,3D6.1533D2E6B1,Trt,Y,,,
6/20/2024,Camp,LMB,311,330,N,3D6.1533D2E6B4,Trt,Y,,,
6/20/2024,Camp,LMB,298,260,N,3DD.003BD7CA9A,Trt,Y,,,
6/20/2024,Camp,LMB,342,450,N,3DD.003BD7CAAD,Trt,Y,,,
6/20/2024,Camp,LMB,290,250,N,3DD.003BD7CAEF,Trt,N,,,
6/20/2024,Camp,LMB,327,380,N,3DD.003BD7CADB,Trt,N,,,
6/20/2024,Camp,BLG,193,90,-,-,Trt,Y,,,
