lake,month,site_id,basin,family,number
Camp,July,1,treatment,Chironomidae,17
Camp,July,1,treatment,Trichoptera,3
Camp,July,1,treatment,Ephemeroptera,1
Camp,July,1,treatment,Amphipoda,12
Camp,July,1,treatment,Odonata,6
Camp,July,2,treatment,Oligochetae,1
Camp,July,2,treatment,Chironomidae,53
Camp,July,2,treatment,Trichoptera,3
Camp,July,2,treatment,Hirudinea,1
Camp,July,2,treatment,Mosquito,2
Camp,July,2,treatment,Sphaeridae,19
Camp,July,3,treatment,Oligochetae,8
Camp,July,3,treatment,Chironomidae,10
Camp,July,3,treatment,Odonata,1
Camp,July,3,treatment,Hirudinea,4
Camp,July,3,treatment,Grub,3
Camp,July,3,treatment,Sphaeridae,33
Camp,July,4,reference,Oligochetae,3
Camp,July,4,reference,Chironomidae,24
Camp,July,4,reference,Trichoptera,2
Camp,July,4,reference,Odonata,2
Camp,July,4,reference,Snail,5
Camp,July,4,reference,Hirudinea,21
Camp,July,4,reference,Sphaeridae,1
Camp,July,5,reference,Oligochetae,3
Camp,July,5,reference,Chironomidae,19
Camp,July,5,reference,Trichoptera,4
Camp,July,5,reference,Odonata,2
Camp,July,5,reference,Snail,24
Camp,July,5,reference,Hirudinea,7
Camp,July,5,reference,Grub,2
Camp,July,5,reference,Sphaeridae,11
Camp,July,6,reference,Oligochetae,2
Camp,July,6,reference,Chironomidae,25
Camp,July,6,reference,Odonata,3
Camp,July,6,reference,Snail,1
Camp,July,6,reference,Hirudinea,6
Camp,July,6,reference,Mosquito,1
Camp,July,6,reference,Sphaeridae,5
Camp,July,6,reference,Amphipoda ,1
Camp,June,1,treatment,Oligochetae,8
Camp,June,1,treatment,Chironomidae,95
Camp,June,1,treatment,Odonata,4
Camp,June,1,treatment,Trichoptera,15
Camp,June,1,treatment,Ephemeroptera,8
Camp,June,1,treatment,Sphaeridae,12
Camp,June,1,treatment,Amphipoda,1
Camp,June,1,treatment,Hirudinea,9
Camp,June,1,treatment,Mosquito,2
Camp,June,2,treatment,Oligochetae,10
Camp,June,2,treatment,Chironomidae,125
Camp,June,2,treatment,Odonata,1
Camp,June,2,treatment,Trichoptera,3
Camp,June,2,treatment,Ephemeroptera,5
Camp,June,2,treatment,Sphaeridae,31
Camp,June,2,treatment,Grub,2
Camp,June,2,treatment,Hirudinea,9
Camp,June,2,treatment,Mosquito,4
Camp,June,3,treatment,Oligochetae,9
Camp,June,3,treatment,Chironomidae,51
Camp,June,3,treatment,Ephemeroptera,1
Camp,June,3,treatment,Trichoptera,6
Camp,June,3,treatment,Odonata,4
Camp,June,3,treatment,Sphaeridae,17
Camp,June,3,treatment,Hirudinea,11
Camp,June,3,treatment,Grub,2
Camp,June,4,reference,Oligochetae,1
