month,date,species,length ,weight,basin ,diet_item,number,diet_weight,weight_total,prop_weight,total_num,prop_number
June,6/13/2024,LMB,250,140,reference,coleoptera ,2,0.00494,8.59023,0.000575072,560,0.003571429
June,6/13/2024,LMB,250,140,reference,fish,16,0.14308,8.59023,0.016656131,560,0.028571429
June,6/13/2024,LMB,259,160,reference,fish,2,0.03332,8.59023,0.003878825,560,0.003571429
June,6/13/2024,LMB,259,160,reference,odonata ,1,0.00934,8.59023,0.001087282,560,0.001785714
June,6/13/2024,LMB,259,190,reference,fish,1,0.01772,8.59023,0.002062809,560,0.001785714
June,6/13/2024,LMB,285,230,reference,odonata ,1,0.00359,8.59023,0.000417917,560,0.001785714
June,6/13/2024,LMB,300,280,reference,fish,26,0.19724,8.59023,0.022960968,560,0.046428571
June,6/13/2024,LMB,249,160,reference,fish,1,0.06232,8.59023,0.007254753,560,0.001785714
June,6/27/2024,LMB,285,200,reference,fish,2,0.07806,8.59023,0.009087068,560,0.003571429
June,6/27/2024,LMB,357,440,reference,fish,1,0.11615,8.59023,0.013521175,560,0.001785714
June,6/27/2024,LMB,295,240,reference,fish,4,0.30604,8.59023,0.03562652,560,0.007142857
June,6/27/2024,LMB,295,240,reference,odonata ,3,0.00913,8.59023,0.001062835,560,0.005357143
June,6/27/2024,LMB,295,240,reference,terinv,2,0.00767,8.59023,0.000892875,560,0.003571429
June,6/27/2024,LMB,285,240,reference,fish,1,0.04484,8.59023,0.005219884,560,0.001785714
June,6/27/2024,LMB,261,170,reference,fish,4,0.27127,8.59023,0.031578898,560,0.007142857
June,6/27/2024,LMB,258,180,reference,fish,6,0.08595,8.59023,0.010005553,560,0.010714286
June,6/27/2024,LMB,258,180,reference,odonata ,5,0.01111,8.59023,0.00129333,560,0.008928571
June,6/27/2024,LMB,304,290,reference,fish,4,0.03461,8.59023,0.004028996,560,0.007142857
June,6/27/2024,LMB,249,140,reference,fish,4,0.10413,8.59023,0.012121911,560,0.007142857
June,6/27/2024,LMB,249,140,reference,terinv,4,0.02394,8.59023,0.002786887,560,0.007142857
June,6/27/2024,LMB,281,240,reference,fish,1,0.0475,8.59023,0.005529538,560,0.001785714
June,6/27/2024,LMB,281,240,reference,odonata ,6,0.09328,8.59023,0.010858848,560,0.010714286
June,6/27/2024,LMB,281,240,reference,terinv,1,0.00031,8.59023,3.60875E-05,560,0.001785714
June,6/27/2024,LMB,287,225,reference,fish,3,0.21613,8.59023,0.025159978,560,0.005357143
June,6/27/2024,LMB,286,255,reference,fish,2,0.09208,8.59023,0.010719154,560,0.003571429
June,6/27/2024,LMB,286,255,reference,odonata ,4,0.04172,8.59023,0.00485668,560,0.007142857
June,6/27/2024,LMB,288,245,reference,diptera,1,0.00096,8.59023,0.000111755,560,0.001785714
June,6/27/2024,LMB,288,245,reference,fish,1,0.42125,8.59023,0.049038268,560,0.001785714
June,6/27/2024,LMB,300,260,reference,fish,1,0.02345,8.59023,0.002729845,560,0.001785714
June,6/27/2024,LMB,291,215,reference,fish,2,0.03107,8.59023,0.0036169,560,0.003571429
June,6/27/2024,LMB,353,420,reference,odonata ,1,0.0875,8.59023,0.01018599,560,0.001785714
June,6/27/2024,LMB,230,120,reference,diptera,1,0.00083,8.59023,9.66214E-05,560,0.001785714
June,6/27/2024,LMB,230,120,reference,fish,1,0.01871,8.59023,0.002178056,560,0.001785714
June,6/13/2024,LMB,245,150,reference,fish,1,0.01782,8.59023,0.00207445,560,0.001785714
June,6/13/2024,LMB,245,150,reference,odonata ,2,0.21075,8.59023,0.024533685,560,0.003571429
June,6/13/2024,LMB,318,340,reference,diptera,11,0.00374,8.59023,0.000435378,560,0.019642857
June,6/13/2024,LMB,318,340,reference,odonata ,8,0.12979,8.59023,0.015109025,560,0.014285714
June,6/27/2024,LMB,324,365,reference,fish,1,0.14531,8.59023,0.016915729,560,0.001785714
June,6/13/2024,LMB,317,360,reference,fish,2,0.44574,8.59023,0.051889181,560,0.003571429
June,6/13/2024,LMB,293,240,reference,diptera,12,0.00259,8.59023,0.000301505,560,0.021428571
June,6/13/2024,LMB,293,240,reference,fish,1,0.05269,8.59023,0.006133712,560,0.001785714
June,6/13/2024,LMB,268,180,reference,fish,3,0.26839,8.59023,0.031243634,560,0.005357143
June,6/13/2024,LMB,268,180,reference,odonata ,2,0.02769,8.59023,0.003223429,560,0.003571429
June,6/13/2024,LMB,258,170,reference,diptera,1,0.00016,8.59023,1.86258E-05,560,0.001785714
June,6/13/2024,LMB,258,170,reference,odonata ,6,0.13198,8.59023,0.015363966,560,0.010714286
June,6/13/2024,LMB,251,140,reference,diptera,1,0.0008,8.59023,9.31291E-05,560,0.001785714
June,6/13/2024,LMB,251,140,reference,fish,1,0.0018,8.59023,0.00020954,560,0.001785714
June,6/13/2024,LMB,251,140,reference,odonata ,1,0.01092,8.59023,0.001271212,560,0.001785714
