month ,date,lake,species ,length ,weight ,nr,pit,basin,diet 
June,6/13/2024,Camp,LMB,229,110,N,3D6.1533D2EB84,reference,N
June,6/13/2024,Camp,LMB,195,60,N,3DD.003BD7CAB7,reference,Y
June,6/13/2024,Camp,LMB,275,210,N,3DD.003BD7CABE,reference,Y
June,6/13/2024,Camp,LMB,249,160,N,3D6.1533D2EB7A,reference,Y
June,6/13/2024,Camp,LMB,285,230,N,3DD.003BD7CABD,reference,Y
June,6/13/2024,Camp,LMB,255,140,N,3DD.003BD7CABO,reference,Y
June,6/13/2024,Camp,LMB,293,240,N,3DD.003BD7CAF3,reference,Y
June,6/13/2024,Camp,LMB,219,80,N,3D6.1533D2E677,reference,Y
June,6/13/2024,Camp,LMB,268,180,N,3D6.1533D2E6AE,reference,Y
June,6/13/2024,Camp,LMB,318,340,N,3D6.1533D2E69F,reference,Y
June,6/13/2024,Camp,LMB,285,230,N,3DD.003D5C9C9D,reference,Y
June,6/13/2024,Camp,LMB,250,140,N,3D6.1533D2E681,reference,Y
June,6/13/2024,Camp,LMB,259,190,N,3D6.1533D2E6AT,reference,Y
June,6/13/2024,Camp,LMB,300,280,N,3D6.1533D2E680,reference,Y
June,6/13/2024,Camp,LMB,295,260,N,3D5.1533D2E661,reference,Y
June,6/13/2024,Camp,LMB,295,150,N,3D6.1533D2E65F,reference,Y
June,6/13/2024,Camp,LMB,317,360,N,3D6.1533D2E666,reference,Y
June,6/13/2024,Camp,LMB,325,360,N,3D6.1533D2E69A,reference,Y
June,6/13/2024,Camp,LMB,251,140,N,3D6.1533D2E6132,reference,Y
June,6/13/2024,Camp,LMB,243,150,N,3D6.1533D2E678,reference,N
June,6/13/2024,Camp,LMB,259,160,N,3D6.1533D2E6B8,reference,Y
June,6/13/2024,Camp,LMB,258,170,N,3DD.003D5C9C88,reference,Y
June,6/13/2024,Camp,LMB,215,90,N,,reference,N
June,6/19/2024,Camp,LMB,364,470,N,3D6.1533D2E6BO,treatment,Y
June,6/19/2024,Camp,LMB,312,320,N,3D6.1533D2E672,treatment,N
June,6/19/2024,Camp,LMB,295,240,N,3D6.1533D2E679,treatment,Y
June,6/19/2024,Camp,LMB,269,200,N,3D6.1533D2E687,treatment,Y
June,6/19/2024,Camp,LMB,352,440,N,3D6.1533D2E69D,treatment,Y
June,6/19/2024,Camp,LMB,252,150,N,3D6.1533D2E682,treatment,Y
June,6/19/2024,Camp,LMB,174,70,N,3D6.1533D2E680,treatment,Y
June,6/20/2024,Camp,LMB,279,240,N,3D6.1533D2EGA5,treatment,Y
June,6/20/2024,Camp,LMB,413,1000,N,384.3515E528A6,treatment,N
June,6/20/2024,Camp,LMB,371,490,N,3DD.003D5L9CA1,treatment,N
June,6/20/2024,Camp,LMB,233,130,N,3D6.1533D2E684,treatment,Y
June,6/20/2024,Camp,LMB,320,300,N,3D6.1533D2E674,treatment,N
June,6/20/2024,Camp,LMB,327,390,N,3D6.1533D2E696,treatment,Y
June,6/20/2024,Camp,LMB,310,320,N,3D6.1533D2E670,treatment,Y
June,6/20/2024,Camp,LMB,329,420,N,3D6.1533D2E683,treatment,Y
June,6/20/2024,Camp,LMB,340,440,N,3D6.1533D2E697,treatment,Y
June,6/20/2024,Camp,LMB,315,330,N,3DD.003BD7CAA2,treatment,Y
June,6/20/2024,Camp,LMB,380,720,N,3D6.1533D2E691,treatment,Y
June,6/20/2024,Camp,LMB,298,270,N,3D6.1533D2E6AA,treatment,Y
June,6/20/2024,Camp,LMB,280,200,N,3D6.1533D2E68E,treatment,Y
June,6/20/2024,Camp,LMB,317,330,N,3D6.1533D2E67E,treatment,N
June,6/20/2024,Camp,LMB,310,290,N,3D6.1533D2E66E,treatment,N
June,6/20/2024,Camp,LMB,402,770,N,3D6.1533D2E667,treatment,Y
June,6/20/2024,Camp,LMB,305,330,N,3D6.1533D2E66C,treatment,Y
June,6/20/2024,Camp,LMB,284,230,N,3D6.1533D2E6B1,treatment,Y
June,6/20/2024,Camp,LMB,311,330,N,3D6.1533D2E6B4,treatment,Y
June,6/20/2024,Camp,LMB,298,260,N,3DD.003BD7CA9A,treatment,Y
June,6/20/2024,Camp,LMB,342,450,N,3DD.003BD7CAAD,treatment,Y
June,6/20/2024,Camp,LMB,290,250,N,3DD.003BD7CAEF,treatment,N
June,6/20/2024,Camp,LMB,327,380,N,3DD.003BD7CADB,treatment,N
June,6/20/2024,Camp,LMB,336,440,N,3DD.003BD7CA9L,treatment,Y
June,6/20/2024,Camp,LMB,335,380,N,3DD.003BD7CAAF,treatment,Y
June,6/20/2024,Camp,LMB,333,370,N,3DD.003BD7CAA1,treatment,Y
June,6/20/2024,Camp,LMB,370,600,N,3DD.003BD7CAB4,treatment,N
June,6/20/2024,Camp,LMB,340,410,N,3DD.003BD7CAE1,treatment,Y
